train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,f1_score
1,1,243400,2,2,251930,4,1,222600,0.8182
1,1,243400,2,2,251930,4,2,267800,0.8272
1,1,243400,2,2,251930,4,3,271990,0.8111
1,1,243400,2,2,251930,5,1,131210,0.8425
1,1,243400,2,2,251930,5,2,188720,0.8322
1,1,243400,2,2,251930,5,3,185380,0.8704
1,1,243400,2,2,251930,6,1,241880,0.8462
1,1,243400,2,2,251930,6,2,164810,0.8421
1,1,243400,2,2,251930,6,3,266820,0.8565
1,1,243400,2,2,251930,7,1,269500,0.8609
1,1,243400,2,2,251930,7,2,278840,0.8951
1,1,243400,2,2,251930,7,3,274760,0.8848
1,1,243400,2,2,251930,8,1,170430,0.8482
1,1,243400,2,2,251930,8,2,89370,0.8062
1,1,243400,2,2,251930,8,3,142120,0.8138
1,1,243400,2,3,223700,1,1,243400,1.0000
1,1,243400,2,3,223700,1,2,223010,0.9472
1,1,243400,2,3,223700,1,3,181870,0.9327
1,1,243400,2,3,223700,2,1,210550,0.7841
1,1,243400,2,3,223700,2,2,251930,0.8043
1,1,243400,2,3,223700,2,3,223700,0.7347
1,1,243400,2,3,223700,3,1,110320,0.9110
1,1,243400,2,3,223700,3,2,122580,0.9394
1,1,243400,2,3,223700,3,3,112370,0.9281
1,1,243400,2,3,223700,4,1,222600,0.8174
1,1,243400,2,3,223700,4,2,267800,0.8285
1,1,243400,2,3,223700,4,3,271990,0.8115
1,1,243400,2,3,223700,5,1,131210,0.8436
1,1,243400,2,3,223700,5,2,188720,0.8331
1,1,243400,2,3,223700,5,3,185380,0.8555
1,1,243400,2,3,223700,6,1,241880,0.8396
1,1,243400,2,3,223700,6,2,164810,0.8493
1,1,243400,2,3,223700,6,3,266820,0.8482
1,1,243400,2,3,223700,7,1,269500,0.8634
1,1,243400,2,3,223700,7,2,278840,0.8975
1,1,243400,2,3,223700,7,3,274760,0.8879
1,1,243400,2,3,223700,8,1,170430,0.8501
