train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,f1_score
1,1,218710,1,1,218710,1,1,218710,1.0000
1,1,218710,1,1,218710,1,2,212760,0.8503
1,1,218710,1,1,218710,1,3,217700,0.8164
1,1,218710,1,1,218710,2,1,278300,0.7044
1,1,218710,1,1,218710,2,2,334990,0.7409
1,1,218710,1,1,218710,2,3,288720,0.6837
1,1,218710,1,1,218710,3,1,151190,0.6776
1,1,218710,1,1,218710,3,2,153970,0.7692
1,1,218710,1,1,218710,3,3,205220,0.7449
1,1,218710,1,1,218710,4,1,249230,0.8066
1,1,218710,1,1,218710,4,2,239230,0.8039
1,1,218710,1,1,218710,4,3,423770,0.7819
1,1,218710,1,1,218710,5,1,215530,0.7815
1,1,218710,1,1,218710,5,2,237050,0.8198
1,1,218710,1,1,218710,5,3,283810,0.8119
1,1,218710,1,1,218710,6,1,191410,0.6878
1,1,218710,1,1,218710,6,2,274640,0.7227
1,1,218710,1,1,218710,6,3,272550,0.7030
1,1,218710,1,1,218710,7,1,513030,0.7899
1,1,218710,1,1,218710,7,2,499780,0.8349
1,1,218710,1,1,218710,7,3,510050,0.8164
1,1,218710,1,1,218710,8,1,141760,0.7822
1,1,218710,1,1,218710,8,2,151390,0.7788
1,1,218710,1,1,218710,8,3,156050,0.7768
1,1,218710,1,2,212760,1,1,218710,0.9484
1,1,218710,1,2,212760,1,2,212760,0.8551
1,1,218710,1,2,212760,1,3,217700,0.8200
1,1,218710,1,2,212760,2,1,278300,0.7502
1,1,218710,1,2,212760,2,2,334990,0.7455
1,1,218710,1,2,212760,2,3,288720,0.6881
1,1,218710,1,2,212760,3,1,151190,0.6577
1,1,218710,1,2,212760,3,2,153970,0.7736
1,1,218710,1,2,212760,3,3,205220,0.7566
1,1,218710,1,2,212760,4,1,249230,0.7893
1,1,218710,1,2,212760,4,2,239230,0.7993
1,1,218710,1,2,212760,4,3,423770,0.7900
1,1,218710,1,2,212760,5,1,215530,0.8022
1,1,218710,1,2,212760,5,2,237050,0.8323
1,1,218710,1,2,212760,5,3,283810,0.8119
1,1,218710,1,2,212760,6,1,191410,0.7198
1,1,218710,1,2,212760,6,2,274640,0.7336
1,1,218710,1,2,212760,6,3,272550,0.7333
1,1,218710,1,2,212760,7,1,513030,0.8180
1,1,218710,1,2,212760,7,2,499780,0.8287
1,1,218710,1,2,212760,7,3,510050,0.8196
1,1,218710,1,2,212760,8,1,141760,0.7893
1,1,218710,1,2,212760,8,2,151390,0.7698
1,1,218710,1,2,212760,8,3,156050,0.7762
1,1,218710,1,3,217700,1,1,218710,1.0000
1,1,218710,1,3,217700,1,2,212760,0.8422
1,1,218710,1,3,217700,1,3,217700,0.8380
1,1,218710,1,3,217700,2,1,278300,0.6665
1,1,218710,1,3,217700,2,2,334990,0.6726
1,1,218710,1,3,217700,2,3,288720,0.6333
1,1,218710,1,3,217700,3,1,151190,0.6764
1,1,218710,1,3,217700,3,2,153970,0.7719
1,1,218710,1,3,217700,3,3,205220,0.7120
1,1,218710,1,3,217700,4,1,249230,0.8090
1,1,218710,1,3,217700,4,2,239230,0.8166
1,1,218710,1,3,217700,4,3,423770,0.7993
1,1,218710,1,3,217700,5,1,215530,0.7889
1,1,218710,1,3,217700,5,2,237050,0.8131
1,1,218710,1,3,217700,5,3,283810,0.8079
1,1,218710,1,3,217700,6,1,191410,0.6613
1,1,218710,1,3,217700,6,2,274640,0.7119
1,1,218710,1,3,217700,6,3,272550,0.7069
1,1,218710,1,3,217700,7,1,513030,0.8037
1,1,218710,1,3,217700,7,2,499780,0.8423
1,1,218710,1,3,217700,7,3,510050,0.8388
1,1,218710,1,3,217700,8,1,141760,0.7793
1,1,218710,1,3,217700,8,2,151390,0.7710
1,1,218710,1,3,217700,8,3,156050,0.7468
1,1,218710,2,1,278300,1,1,218710,0.8995
1,1,218710,2,1,278300,1,2,212760,0.8474
1,1,218710,2,1,278300,1,3,217700,0.8046
1,1,218710,2,1,278300,2,1,278300,0.7619
1,1,218710,2,1,278300,2,2,334990,0.7552
1,1,218710,2,1,278300,2,3,288720,0.6629
1,1,218710,2,1,278300,3,1,151190,0.6666
1,1,218710,2,1,278300,3,2,153970,0.8135
1,1,218710,2,1,278300,3,3,205220,0.7998
1,1,218710,2,1,278300,4,1,249230,0.7331
1,1,218710,2,1,278300,4,2,239230,0.7392
1,1,218710,2,1,278300,4,3,423770,0.7433
1,1,218710,2,1,278300,5,1,215530,0.7880
1,1,218710,2,1,278300,5,2,237050,0.8252
1,1,218710,2,1,278300,5,3,283810,0.8128
1,1,218710,2,1,278300,6,1,191410,0.7358
1,1,218710,2,1,278300,6,2,274640,0.7270
1,1,218710,2,1,278300,6,3,272550,0.7181
1,1,218710,2,1,278300,7,1,513030,0.8086
1,1,218710,2,1,278300,7,2,499780,0.8115
1,1,218710,2,1,278300,7,3,510050,0.8019
1,1,218710,2,1,278300,8,1,141760,0.7762
1,1,218710,2,1,278300,8,2,151390,0.7721
1,1,218710,2,1,278300,8,3,156050,0.7813
1,1,218710,2,2,334990,1,1,218710,0.8995
1,1,218710,2,2,334990,1,2,212760,0.8474
1,1,218710,2,2,334990,1,3,217700,0.8046
1,1,218710,2,2,334990,2,1,278300,0.7619
1,1,218710,2,2,334990,2,2,334990,0.7552
1,1,218710,2,2,334990,2,3,288720,0.6629
1,1,218710,2,2,334990,3,1,151190,0.6666
1,1,218710,2,2,334990,3,2,153970,0.8135
1,1,218710,2,2,334990,3,3,205220,0.7998
1,1,218710,2,2,334990,4,1,249230,0.7331
1,1,218710,2,2,334990,4,2,239230,0.7392
1,1,218710,2,2,334990,4,3,423770,0.7433
1,1,218710,2,2,334990,5,1,215530,0.7880
1,1,218710,2,2,334990,5,2,237050,0.8252
1,1,218710,2,2,334990,5,3,283810,0.8128
1,1,218710,2,2,334990,6,1,191410,0.7358
1,1,218710,2,2,334990,6,2,274640,0.7270
1,1,218710,2,2,334990,6,3,272550,0.7181
1,1,218710,2,2,334990,7,1,513030,0.8086
1,1,218710,2,2,334990,7,2,499780,0.8115
1,1,218710,2,2,334990,7,3,510050,0.8019
1,1,218710,2,2,334990,8,1,141760,0.7762
1,1,218710,2,2,334990,8,2,151390,0.7721
1,1,218710,2,2,334990,8,3,156050,0.7813
1,1,218710,2,3,288720,1,1,218710,0.9675
1,1,218710,2,3,288720,1,2,212760,0.8450
1,1,218710,2,3,288720,1,3,217700,0.8192
1,1,218710,2,3,288720,2,1,278300,0.7414
1,1,218710,2,3,288720,2,2,334990,0.7270
1,1,218710,2,3,288720,2,3,288720,0.7094
1,1,218710,2,3,288720,3,1,151190,0.6580
1,1,218710,2,3,288720,3,2,153970,0.7632
1,1,218710,2,3,288720,3,3,205220,0.7553
1,1,218710,2,3,288720,4,1,249230,0.7925
1,1,218710,2,3,288720,4,2,239230,0.7961
1,1,218710,2,3,288720,4,3,423770,0.8027
1,1,218710,2,3,288720,5,1,215530,0.7787
1,1,218710,2,3,288720,5,2,237050,0.8138
1,1,218710,2,3,288720,5,3,283810,0.8131
1,1,218710,2,3,288720,6,1,191410,0.7011
1,1,218710,2,3,288720,6,2,274640,0.7238
1,1,218710,2,3,288720,6,3,272550,0.7159
1,1,218710,2,3,288720,7,1,513030,0.8030
1,1,218710,2,3,288720,7,2,499780,0.8264
1,1,218710,2,3,288720,7,3,510050,0.8162
1,1,218710,2,3,288720,8,1,141760,0.7814
1,1,218710,2,3,288720,8,2,151390,0.7692
1,1,218710,2,3,288720,8,3,156050,0.7688
1,1,218710,3,1,151190,1,1,218710,0.9111
1,1,218710,3,1,151190,1,2,212760,0.8475
1,1,218710,3,1,151190,1,3,217700,0.8146
1,1,218710,3,1,151190,2,1,278300,0.7596
1,1,218710,3,1,151190,2,2,334990,0.7546
1,1,218710,3,1,151190,2,3,288720,0.6670
1,1,218710,3,1,151190,3,1,151190,0.6889
1,1,218710,3,1,151190,3,2,153970,0.8004
1,1,218710,3,1,151190,3,3,205220,0.7877
1,1,218710,3,1,151190,4,1,249230,0.7611
1,1,218710,3,1,151190,4,2,239230,0.7742
1,1,218710,3,1,151190,4,3,423770,0.7615
1,1,218710,3,1,151190,5,1,215530,0.8070
1,1,218710,3,1,151190,5,2,237050,0.8365
1,1,218710,3,1,151190,5,3,283810,0.8216
1,1,218710,3,1,151190,6,1,191410,0.7301
1,1,218710,3,1,151190,6,2,274640,0.7270
1,1,218710,3,1,151190,6,3,272550,0.7283
1,1,218710,3,1,151190,7,1,513030,0.8132
1,1,218710,3,1,151190,7,2,499780,0.8330
1,1,218710,3,1,151190,7,3,510050,0.8192
1,1,218710,3,1,151190,8,1,141760,0.7902
1,1,218710,3,1,151190,8,2,151390,0.7713
1,1,218710,3,1,151190,8,3,156050,0.7818
1,1,218710,3,2,153970,1,1,218710,0.8995
1,1,218710,3,2,153970,1,2,212760,0.8474
1,1,218710,3,2,153970,1,3,217700,0.8046
1,1,218710,3,2,153970,2,1,278300,0.7619
1,1,218710,3,2,153970,2,2,334990,0.7552
1,1,218710,3,2,153970,2,3,288720,0.6629
1,1,218710,3,2,153970,3,1,151190,0.6666
1,1,218710,3,2,153970,3,2,153970,0.8135
1,1,218710,3,2,153970,3,3,205220,0.7998
1,1,218710,3,2,153970,4,1,249230,0.7331
1,1,218710,3,2,153970,4,2,239230,0.7392
1,1,218710,3,2,153970,4,3,423770,0.7433
1,1,218710,3,2,153970,5,1,215530,0.7880
1,1,218710,3,2,153970,5,2,237050,0.8252
1,1,218710,3,2,153970,5,3,283810,0.8128
1,1,218710,3,2,153970,6,1,191410,0.7358
1,1,218710,3,2,153970,6,2,274640,0.7270
1,1,218710,3,2,153970,6,3,272550,0.7181
1,1,218710,3,2,153970,7,1,513030,0.8086
1,1,218710,3,2,153970,7,2,499780,0.8115
1,1,218710,3,2,153970,7,3,510050,0.8019
1,1,218710,3,2,153970,8,1,141760,0.7762
1,1,218710,3,2,153970,8,2,151390,0.7721
1,1,218710,3,2,153970,8,3,156050,0.7813
1,1,218710,3,3,205220,1,1,218710,0.8995
1,1,218710,3,3,205220,1,2,212760,0.8474
1,1,218710,3,3,205220,1,3,217700,0.8046
1,1,218710,3,3,205220,2,1,278300,0.7619
1,1,218710,3,3,205220,2,2,334990,0.7552
1,1,218710,3,3,205220,2,3,288720,0.6629
1,1,218710,3,3,205220,3,1,151190,0.6666
1,1,218710,3,3,205220,3,2,153970,0.8135
1,1,218710,3,3,205220,3,3,205220,0.7998
1,1,218710,3,3,205220,4,1,249230,0.7331
1,1,218710,3,3,205220,4,2,239230,0.7392
1,1,218710,3,3,205220,4,3,423770,0.7433
1,1,218710,3,3,205220,5,1,215530,0.7880
1,1,218710,3,3,205220,5,2,237050,0.8252
1,1,218710,3,3,205220,5,3,283810,0.8128
1,1,218710,3,3,205220,6,1,191410,0.7358
1,1,218710,3,3,205220,6,2,274640,0.7270
1,1,218710,3,3,205220,6,3,272550,0.7181
1,1,218710,3,3,205220,7,1,513030,0.8086
1,1,218710,3,3,205220,7,2,499780,0.8115
1,1,218710,3,3,205220,7,3,510050,0.8019
1,1,218710,3,3,205220,8,1,141760,0.7762
1,1,218710,3,3,205220,8,2,151390,0.7721
1,1,218710,3,3,205220,8,3,156050,0.7813
1,1,218710,4,1,249230,1,1,218710,1.0000
1,1,218710,4,1,249230,1,2,212760,0.8422
1,1,218710,4,1,249230,1,3,217700,0.8380
1,1,218710,4,1,249230,2,1,278300,0.6665
1,1,218710,4,1,249230,2,2,334990,0.6726
1,1,218710,4,1,249230,2,3,288720,0.6333
1,1,218710,4,1,249230,3,1,151190,0.6764
1,1,218710,4,1,249230,3,2,153970,0.7719
1,1,218710,4,1,249230,3,3,205220,0.7120
1,1,218710,4,1,249230,4,1,249230,0.8090
1,1,218710,4,1,249230,4,2,239230,0.8166
1,1,218710,4,1,249230,4,3,423770,0.7993
1,1,218710,4,1,249230,5,1,215530,0.7889
1,1,218710,4,1,249230,5,2,237050,0.8131
1,1,218710,4,1,249230,5,3,283810,0.8079
1,1,218710,4,1,249230,6,1,191410,0.6613
1,1,218710,4,1,249230,6,2,274640,0.7119
1,1,218710,4,1,249230,6,3,272550,0.7069
1,1,218710,4,1,249230,7,1,513030,0.8037
1,1,218710,4,1,249230,7,2,499780,0.8423
1,1,218710,4,1,249230,7,3,510050,0.8388
1,1,218710,4,1,249230,8,1,141760,0.7793
1,1,218710,4,1,249230,8,2,151390,0.7710
1,1,218710,4,1,249230,8,3,156050,0.7468
1,1,218710,4,2,239230,1,1,218710,1.0000
1,1,218710,4,2,239230,1,2,212760,0.8422
1,1,218710,4,2,239230,1,3,217700,0.8380
1,1,218710,4,2,239230,2,1,278300,0.6665
1,1,218710,4,2,239230,2,2,334990,0.6726
1,1,218710,4,2,239230,2,3,288720,0.6333
1,1,218710,4,2,239230,3,1,151190,0.6764
1,1,218710,4,2,239230,3,2,153970,0.7719
1,1,218710,4,2,239230,3,3,205220,0.7120
1,1,218710,4,2,239230,4,1,249230,0.8090
1,1,218710,4,2,239230,4,2,239230,0.8166
1,1,218710,4,2,239230,4,3,423770,0.7993
1,1,218710,4,2,239230,5,1,215530,0.7889
1,1,218710,4,2,239230,5,2,237050,0.8131
1,1,218710,4,2,239230,5,3,283810,0.8079
1,1,218710,4,2,239230,6,1,191410,0.6613
1,1,218710,4,2,239230,6,2,274640,0.7119
1,1,218710,4,2,239230,6,3,272550,0.7069
1,1,218710,4,2,239230,7,1,513030,0.8037
1,1,218710,4,2,239230,7,2,499780,0.8423
1,1,218710,4,2,239230,7,3,510050,0.8388
1,1,218710,4,2,239230,8,1,141760,0.7793
1,1,218710,4,2,239230,8,2,151390,0.7710
1,1,218710,4,2,239230,8,3,156050,0.7468
1,1,218710,4,3,423770,1,1,218710,0.8995
1,1,218710,4,3,423770,1,2,212760,0.8474
1,1,218710,4,3,423770,1,3,217700,0.8046
1,1,218710,4,3,423770,2,1,278300,0.7619
1,1,218710,4,3,423770,2,2,334990,0.7552
1,1,218710,4,3,423770,2,3,288720,0.6629
1,1,218710,4,3,423770,3,1,151190,0.6666
1,1,218710,4,3,423770,3,2,153970,0.8135
1,1,218710,4,3,423770,3,3,205220,0.7998
1,1,218710,4,3,423770,4,1,249230,0.7331
1,1,218710,4,3,423770,4,2,239230,0.7392
1,1,218710,4,3,423770,4,3,423770,0.7433
1,1,218710,4,3,423770,5,1,215530,0.7880
1,1,218710,4,3,423770,5,2,237050,0.8252
1,1,218710,4,3,423770,5,3,283810,0.8128
1,1,218710,4,3,423770,6,1,191410,0.7358
1,1,218710,4,3,423770,6,2,274640,0.7270
1,1,218710,4,3,423770,6,3,272550,0.7181
1,1,218710,4,3,423770,7,1,513030,0.8086
1,1,218710,4,3,423770,7,2,499780,0.8115
1,1,218710,4,3,423770,7,3,510050,0.8019
1,1,218710,4,3,423770,8,1,141760,0.7762
1,1,218710,4,3,423770,8,2,151390,0.7721
1,1,218710,4,3,423770,8,3,156050,0.7813
1,1,218710,5,1,215530,1,1,218710,0.9207
1,1,218710,5,1,215530,1,2,212760,0.8468
1,1,218710,5,1,215530,1,3,217700,0.8204
1,1,218710,5,1,215530,2,1,278300,0.7475
1,1,218710,5,1,215530,2,2,334990,0.7482
1,1,218710,5,1,215530,2,3,288720,0.6750
1,1,218710,5,1,215530,3,1,151190,0.6737
1,1,218710,5,1,215530,3,2,153970,0.7918
1,1,218710,5,1,215530,3,3,205220,0.7779
1,1,218710,5,1,215530,4,1,249230,0.7788
1,1,218710,5,1,215530,4,2,239230,0.7733
1,1,218710,5,1,215530,4,3,423770,0.7666
1,1,218710,5,1,215530,5,1,215530,0.8102
1,1,218710,5,1,215530,5,2,237050,0.8374
1,1,218710,5,1,215530,5,3,283810,0.8217
1,1,218710,5,1,215530,6,1,191410,0.7139
1,1,218710,5,1,215530,6,2,274640,0.7340
1,1,218710,5,1,215530,6,3,272550,0.7271
1,1,218710,5,1,215530,7,1,513030,0.8249
1,1,218710,5,1,215530,7,2,499780,0.8156
1,1,218710,5,1,215530,7,3,510050,0.8152
1,1,218710,5,1,215530,8,1,141760,0.7982
1,1,218710,5,1,215530,8,2,151390,0.7864
1,1,218710,5,1,215530,8,3,156050,0.7936
1,1,218710,5,2,237050,1,1,218710,0.9207
1,1,218710,5,2,237050,1,2,212760,0.8468
1,1,218710,5,2,237050,1,3,217700,0.8204
1,1,218710,5,2,237050,2,1,278300,0.7475
1,1,218710,5,2,237050,2,2,334990,0.7482
1,1,218710,5,2,237050,2,3,288720,0.6750
1,1,218710,5,2,237050,3,1,151190,0.6737
1,1,218710,5,2,237050,3,2,153970,0.7918
1,1,218710,5,2,237050,3,3,205220,0.7779
1,1,218710,5,2,237050,4,1,249230,0.7788
1,1,218710,5,2,237050,4,2,239230,0.7733
1,1,218710,5,2,237050,4,3,423770,0.7666
1,1,218710,5,2,237050,5,1,215530,0.8102
1,1,218710,5,2,237050,5,2,237050,0.8374
1,1,218710,5,2,237050,5,3,283810,0.8217
1,1,218710,5,2,237050,6,1,191410,0.7139
1,1,218710,5,2,237050,6,2,274640,0.7340
1,1,218710,5,2,237050,6,3,272550,0.7271
1,1,218710,5,2,237050,7,1,513030,0.8249
1,1,218710,5,2,237050,7,2,499780,0.8156
1,1,218710,5,2,237050,7,3,510050,0.8152
1,1,218710,5,2,237050,8,1,141760,0.7982
1,1,218710,5,2,237050,8,2,151390,0.7864
1,1,218710,5,2,237050,8,3,156050,0.7936
1,1,218710,5,3,283810,1,1,218710,0.9111
1,1,218710,5,3,283810,1,2,212760,0.8475
1,1,218710,5,3,283810,1,3,217700,0.8146
1,1,218710,5,3,283810,2,1,278300,0.7596
1,1,218710,5,3,283810,2,2,334990,0.7546
