train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,f1_score
1,1,243400,2,2,251930,4,1,222600,0.8242
1,1,243400,2,2,251930,4,2,267800,0.8325
1,1,243400,2,2,251930,4,3,271990,0.8192
1,1,243400,2,2,251930,5,1,131210,0.8346
1,1,243400,2,2,251930,5,2,188720,0.8424
1,1,243400,2,2,251930,5,3,185380,0.8510
1,1,243400,2,2,251930,6,1,241880,0.7995
1,1,243400,2,2,251930,6,2,164810,0.8075
1,1,243400,2,2,251930,6,3,266820,0.7912
1,1,243400,2,2,251930,7,1,269500,0.8408
1,1,243400,2,2,251930,7,2,278840,0.8657
1,1,243400,2,2,251930,7,3,274760,0.8814
1,1,243400,2,2,251930,8,1,170430,0.8124
1,1,243400,2,2,251930,8,2,89370,0.7650
1,1,243400,2,2,251930,8,3,142120,0.8123
1,1,243400,2,3,223700,1,1,243400,1.0000
1,1,243400,2,3,223700,1,2,223010,0.9443
1,1,243400,2,3,223700,1,3,181870,0.9498
1,1,243400,2,3,223700,2,1,210550,0.7609
1,1,243400,2,3,223700,2,2,251930,0.7630
1,1,243400,2,3,223700,2,3,223700,0.7128
1,1,243400,2,3,223700,3,1,110320,0.8965
1,1,243400,2,3,223700,3,2,122580,0.9005
1,1,243400,2,3,223700,3,3,112370,0.8859
1,1,243400,2,3,223700,4,1,222600,0.8133
1,1,243400,2,3,223700,4,2,267800,0.8338
1,1,243400,2,3,223700,4,3,271990,0.8074
1,1,243400,2,3,223700,5,1,131210,0.8405
1,1,243400,2,3,223700,5,2,188720,0.8434
1,1,243400,2,3,223700,5,3,185380,0.8748
1,1,243400,2,3,223700,6,1,241880,0.8284
1,1,243400,2,3,223700,6,2,164810,0.8013
1,1,243400,2,3,223700,6,3,266820,0.8071
1,1,243400,2,3,223700,7,1,269500,0.8398
1,1,243400,2,3,223700,7,2,278840,0.8690
1,1,243400,2,3,223700,7,3,274760,0.8810
1,1,243400,2,3,223700,8,1,170430,0.8226
1,1,243400,2,3,223700,8,2,89370,0.7779
1,1,243400,2,3,223700,8,3,142120,0.8112
1,1,243400,3,1,110320,1,1,243400,0.9945
1,1,243400,3,1,110320,1,2,223010,0.9216
1,1,243400,3,1,110320,1,3,181870,0.9470
1,1,243400,3,1,110320,2,1,210550,0.7812
1,1,243400,3,1,110320,2,2,251930,0.7601
1,1,243400,3,1,110320,2,3,223700,0.7071
1,1,243400,3,1,110320,3,1,110320,0.9076
1,1,243400,3,1,110320,3,2,122580,0.8949
1,1,243400,3,1,110320,3,3,112370,0.8949
1,1,243400,3,1,110320,4,1,222600,0.8165
1,1,243400,3,1,110320,4,2,267800,0.8320
1,1,243400,3,1,110320,4,3,271990,0.8053
1,1,243400,3,1,110320,5,1,131210,0.8353
1,1,243400,3,1,110320,5,2,188720,0.8338
1,1,243400,3,1,110320,5,3,185380,0.8550
1,1,243400,3,1,110320,6,1,241880,0.8344
1,1,243400,3,1,110320,6,2,164810,0.8132
1,1,243400,3,1,110320,6,3,266820,0.8015
1,1,243400,3,1,110320,7,1,269500,0.8214
1,1,243400,3,1,110320,7,2,278840,0.8599
1,1,243400,3,1,110320,7,3,274760,0.8696
1,1,243400,3,1,110320,8,1,170430,0.8551
1,1,243400,3,1,110320,8,2,89370,0.7807
1,1,243400,3,1,110320,8,3,142120,0.8168
1,1,243400,3,2,122580,1,1,243400,1.0000
1,1,243400,3,2,122580,1,2,223010,0.9471
1,1,243400,3,2,122580,1,3,181870,0.9470
1,1,243400,3,2,122580,2,1,210550,0.7721
1,1,243400,3,2,122580,2,2,251930,0.7891
1,1,243400,3,2,122580,2,3,223700,0.7097
1,1,243400,3,2,122580,3,1,110320,0.8820
1,1,243400,3,2,122580,3,2,122580,0.9149
1,1,243400,3,2,122580,3,3,112370,0.8474
1,1,243400,3,2,122580,4,1,222600,0.8154
1,1,243400,3,2,122580,4,2,267800,0.8343
1,1,243400,3,2,122580,4,3,271990,0.8072
1,1,243400,3,2,122580,5,1,131210,0.8333
1,1,243400,3,2,122580,5,2,188720,0.8398
1,1,243400,3,2,122580,5,3,185380,0.8518
1,1,243400,3,2,122580,6,1,241880,0.7870
1,1,243400,3,2,122580,6,2,164810,0.8131
1,1,243400,3,2,122580,6,3,266820,0.7850
1,1,243400,3,2,122580,7,1,269500,0.8354
1,1,243400,3,2,122580,7,2,278840,0.8759
1,1,243400,3,2,122580,7,3,274760,0.8638
1,1,243400,3,2,122580,8,1,170430,0.8026
1,1,243400,3,2,122580,8,2,89370,0.7769
1,1,243400,3,2,122580,8,3,142120,0.8097
1,1,243400,3,3,112370,1,1,243400,0.9861
1,1,243400,3,3,112370,1,2,223010,0.9211
1,1,243400,3,3,112370,1,3,181870,0.9358
1,1,243400,3,3,112370,2,1,210550,0.7870
1,1,243400,3,3,112370,2,2,251930,0.7659
1,1,243400,3,3,112370,2,3,223700,0.7102
1,1,243400,3,3,112370,3,1,110320,0.9021
1,1,243400,3,3,112370,3,2,122580,0.9008
1,1,243400,3,3,112370,3,3,112370,0.9176
1,1,243400,3,3,112370,4,1,222600,0.8152
1,1,243400,3,3,112370,4,2,267800,0.8264
1,1,243400,3,3,112370,4,3,271990,0.7933
1,1,243400,3,3,112370,5,1,131210,0.8365
1,1,243400,3,3,112370,5,2,188720,0.8393
1,1,243400,3,3,112370,5,3,185380,0.8756
1,1,243400,3,3,112370,6,1,241880,0.8393
1,1,243400,3,3,112370,6,2,164810,0.8063
1,1,243400,3,3,112370,6,3,266820,0.8213
1,1,243400,3,3,112370,7,1,269500,0.8407
1,1,243400,3,3,112370,7,2,278840,0.8564
1,1,243400,3,3,112370,7,3,274760,0.8865
1,1,243400,3,3,112370,8,1,170430,0.8412
1,1,243400,3,3,112370,8,2,89370,0.7806
1,1,243400,3,3,112370,8,3,142120,0.8280
1,1,243400,4,1,222600,1,1,243400,0.9694
1,1,243400,4,1,222600,1,2,223010,0.9043
1,1,243400,4,1,222600,1,3,181870,0.9299
1,1,243400,4,1,222600,2,1,210550,0.7842
1,1,243400,4,1,222600,2,2,251930,0.7519
1,1,243400,4,1,222600,2,3,223700,0.7049
1,1,243400,4,1,222600,3,1,110320,0.8681
1,1,243400,4,1,222600,3,2,122580,0.8776
1,1,243400,4,1,222600,3,3,112370,0.8775
1,1,243400,4,1,222600,4,1,222600,0.8241
1,1,243400,4,1,222600,4,2,267800,0.8256
1,1,243400,4,1,222600,4,3,271990,0.7967
1,1,243400,4,1,222600,5,1,131210,0.8379
1,1,243400,4,1,222600,5,2,188720,0.9027
1,1,243400,4,1,222600,5,3,185380,0.8782
1,1,243400,4,1,222600,6,1,241880,0.8585
1,1,243400,4,1,222600,6,2,164810,0.7909
1,1,243400,4,1,222600,6,3,266820,0.8096
1,1,243400,4,1,222600,7,1,269500,0.7895
1,1,243400,4,1,222600,7,2,278840,0.8019
1,1,243400,4,1,222600,7,3,274760,0.8864
1,1,243400,4,1,222600,8,1,170430,0.7815
1,1,243400,4,1,222600,8,2,89370,0.7343
1,1,243400,4,1,222600,8,3,142120,0.8042
1,1,243400,4,2,267800,1,1,243400,0.9694
1,1,243400,4,2,267800,1,2,223010,0.9043
1,1,243400,4,2,267800,1,3,181870,0.9299
1,1,243400,4,2,267800,2,1,210550,0.7842
1,1,243400,4,2,267800,2,2,251930,0.7519
1,1,243400,4,2,267800,2,3,223700,0.7049
1,1,243400,4,2,267800,3,1,110320,0.8681
1,1,243400,4,2,267800,3,2,122580,0.8776
1,1,243400,4,2,267800,3,3,112370,0.8775
1,1,243400,4,2,267800,4,1,222600,0.8241
1,1,243400,4,2,267800,4,2,267800,0.8256
1,1,243400,4,2,267800,4,3,271990,0.7967
1,1,243400,4,2,267800,5,1,131210,0.8379
1,1,243400,4,2,267800,5,2,188720,0.9027
1,1,243400,4,2,267800,5,3,185380,0.8782
1,1,243400,4,2,267800,6,1,241880,0.8585
1,1,243400,4,2,267800,6,2,164810,0.7909
1,1,243400,4,2,267800,6,3,266820,0.8096
1,1,243400,4,2,267800,7,1,269500,0.7895
1,1,243400,4,2,267800,7,2,278840,0.8019
1,1,243400,4,2,267800,7,3,274760,0.8864
1,1,243400,4,2,267800,8,1,170430,0.7815
1,1,243400,4,2,267800,8,2,89370,0.7343
1,1,243400,4,2,267800,8,3,142120,0.8042
1,1,243400,4,3,271990,1,1,243400,1.0000
1,1,243400,4,3,271990,1,2,223010,0.9443
1,1,243400,4,3,271990,1,3,181870,0.9470
1,1,243400,4,3,271990,2,1,210550,0.7693
1,1,243400,4,3,271990,2,2,251930,0.7862
1,1,243400,4,3,271990,2,3,223700,0.7041
1,1,243400,4,3,271990,3,1,110320,0.8770
1,1,243400,4,3,271990,3,2,122580,0.8863
1,1,243400,4,3,271990,3,3,112370,0.8567
1,1,243400,4,3,271990,4,1,222600,0.8305
1,1,243400,4,3,271990,4,2,267800,0.8302
1,1,243400,4,3,271990,4,3,271990,0.8243
1,1,243400,4,3,271990,5,1,131210,0.8346
1,1,243400,4,3,271990,5,2,188720,0.8428
1,1,243400,4,3,271990,5,3,185380,0.8665
1,1,243400,4,3,271990,6,1,241880,0.8012
1,1,243400,4,3,271990,6,2,164810,0.8120
1,1,243400,4,3,271990,6,3,266820,0.7961
1,1,243400,4,3,271990,7,1,269500,0.8476
1,1,243400,4,3,271990,7,2,278840,0.8715
1,1,243400,4,3,271990,7,3,274760,0.8724
1,1,243400,4,3,271990,8,1,170430,0.8047
1,1,243400,4,3,271990,8,2,89370,0.7800
1,1,243400,4,3,271990,8,3,142120,0.7949
1,1,243400,5,1,131210,1,1,243400,0.9557
1,1,243400,5,1,131210,1,2,223010,0.9048
1,1,243400,5,1,131210,1,3,181870,0.9076
1,1,243400,5,1,131210,2,1,210550,0.6826
1,1,243400,5,1,131210,2,2,251930,0.6343
1,1,243400,5,1,131210,2,3,223700,0.5746
1,1,243400,5,1,131210,3,1,110320,0.8316
1,1,243400,5,1,131210,3,2,122580,0.8578
1,1,243400,5,1,131210,3,3,112370,0.8287
1,1,243400,5,1,131210,4,1,222600,0.7489
1,1,243400,5,1,131210,4,2,267800,0.7721
1,1,243400,5,1,131210,4,3,271990,0.7606
1,1,243400,5,1,131210,5,1,131210,0.8495
1,1,243400,5,1,131210,5,2,188720,0.9041
1,1,243400,5,1,131210,5,3,185380,0.8700
1,1,243400,5,1,131210,6,1,241880,0.7988
1,1,243400,5,1,131210,6,2,164810,0.7647
1,1,243400,5,1,131210,6,3,266820,0.7650
1,1,243400,5,1,131210,7,1,269500,0.8392
1,1,243400,5,1,131210,7,2,278840,0.8434
1,1,243400,5,1,131210,7,3,274760,0.8601
1,1,243400,5,1,131210,8,1,170430,0.7513
1,1,243400,5,1,131210,8,2,89370,0.6961
1,1,243400,5,1,131210,8,3,142120,0.7537
1,1,243400,5,2,188720,1,1,243400,0.9557
1,1,243400,5,2,188720,1,2,223010,0.9048
1,1,243400,5,2,188720,1,3,181870,0.9076
1,1,243400,5,2,188720,2,1,210550,0.6826
1,1,243400,5,2,188720,2,2,251930,0.6343
1,1,243400,5,2,188720,2,3,223700,0.5746
1,1,243400,5,2,188720,3,1,110320,0.8316
1,1,243400,5,2,188720,3,2,122580,0.8578
1,1,243400,5,2,188720,3,3,112370,0.8287
1,1,243400,5,2,188720,4,1,222600,0.7489
1,1,243400,5,2,188720,4,2,267800,0.7721
1,1,243400,5,2,188720,4,3,271990,0.7606
1,1,243400,5,2,188720,5,1,131210,0.8495
1,1,243400,5,2,188720,5,2,188720,0.9041
1,1,243400,5,2,188720,5,3,185380,0.8700
1,1,243400,5,2,188720,6,1,241880,0.7988
1,1,243400,5,2,188720,6,2,164810,0.7647
1,1,243400,5,2,188720,6,3,266820,0.7650
1,1,243400,5,2,188720,7,1,269500,0.8392
1,1,243400,5,2,188720,7,2,278840,0.8434
1,1,243400,5,2,188720,7,3,274760,0.8601
1,1,243400,5,2,188720,8,1,170430,0.7513
1,1,243400,5,2,188720,8,2,89370,0.6961
1,1,243400,5,2,188720,8,3,142120,0.7537
1,1,243400,5,3,185380,1,1,243400,0.9694
1,1,243400,5,3,185380,1,2,223010,0.9043
1,1,243400,5,3,185380,1,3,181870,0.9299
1,1,243400,5,3,185380,2,1,210550,0.7842
1,1,243400,5,3,185380,2,2,251930,0.7519
1,1,243400,5,3,185380,2,3,223700,0.7049
1,1,243400,5,3,185380,3,1,110320,0.8681
1,1,243400,5,3,185380,3,2,122580,0.8776
1,1,243400,5,3,185380,3,3,112370,0.8775
1,1,243400,5,3,185380,4,1,222600,0.8241
1,1,243400,5,3,185380,4,2,267800,0.8256
1,1,243400,5,3,185380,4,3,271990,0.7967
1,1,243400,5,3,185380,5,1,131210,0.8379
1,1,243400,5,3,185380,5,2,188720,0.9027
1,1,243400,5,3,185380,5,3,185380,0.8782
1,1,243400,5,3,185380,6,1,241880,0.8585
1,1,243400,5,3,185380,6,2,164810,0.7909
1,1,243400,5,3,185380,6,3,266820,0.8096
1,1,243400,5,3,185380,7,1,269500,0.7895
1,1,243400,5,3,185380,7,2,278840,0.8019
1,1,243400,5,3,185380,7,3,274760,0.8864
1,1,243400,5,3,185380,8,1,170430,0.7815
1,1,243400,5,3,185380,8,2,89370,0.7343
1,1,243400,5,3,185380,8,3,142120,0.8042
1,1,243400,6,1,241880,1,1,243400,0.9639
1,1,243400,6,1,241880,1,2,223010,0.8958
1,1,243400,6,1,241880,1,3,181870,0.9270
1,1,243400,6,1,241880,2,1,210550,0.7295
1,1,243400,6,1,241880,2,2,251930,0.6711
1,1,243400,6,1,241880,2,3,223700,0.6101
1,1,243400,6,1,241880,3,1,110320,0.8587
1,1,243400,6,1,241880,3,2,122580,0.8806
1,1,243400,6,1,241880,3,3,112370,0.8597
1,1,243400,6,1,241880,4,1,222600,0.8031
1,1,243400,6,1,241880,4,2,267800,0.8138
1,1,243400,6,1,241880,4,3,271990,0.7815
1,1,243400,6,1,241880,5,1,131210,0.8521
1,1,243400,6,1,241880,5,2,188720,0.8993
1,1,243400,6,1,241880,5,3,185380,0.8739
1,1,243400,6,1,241880,6,1,241880,0.8584
1,1,243400,6,1,241880,6,2,164810,0.8041
1,1,243400,6,1,241880,6,3,266820,0.7837
1,1,243400,6,1,241880,7,1,269500,0.7926
1,1,243400,6,1,241880,7,2,278840,0.7961
1,1,243400,6,1,241880,7,3,274760,0.8750
1,1,243400,6,1,241880,8,1,170430,0.7929
1,1,243400,6,1,241880,8,2,89370,0.7199
1,1,243400,6,1,241880,8,3,142120,0.8074
1,1,243400,6,2,164810,1,1,243400,0.9945
1,1,243400,6,2,164810,1,2,223010,0.9216
1,1,243400,6,2,164810,1,3,181870,0.9470
1,1,243400,6,2,164810,2,1,210550,0.7812
1,1,243400,6,2,164810,2,2,251930,0.7601
1,1,243400,6,2,164810,2,3,223700,0.7071
1,1,243400,6,2,164810,3,1,110320,0.9076
1,1,243400,6,2,164810,3,2,122580,0.8949
1,1,243400,6,2,164810,3,3,112370,0.8949
1,1,243400,6,2,164810,4,1,222600,0.8165
1,1,243400,6,2,164810,4,2,267800,0.8320
1,1,243400,6,2,164810,4,3,271990,0.8053
1,1,243400,6,2,164810,5,1,131210,0.8353
1,1,243400,6,2,164810,5,2,188720,0.8338
1,1,243400,6,2,164810,5,3,185380,0.8550
1,1,243400,6,2,164810,6,1,241880,0.8344
1,1,243400,6,2,164810,6,2,164810,0.8132
1,1,243400,6,2,164810,6,3,266820,0.8015
1,1,243400,6,2,164810,7,1,269500,0.8214
1,1,243400,6,2,164810,7,2,278840,0.8599
1,1,243400,6,2,164810,7,3,274760,0.8696
1,1,243400,6,2,164810,8,1,170430,0.8551
1,1,243400,6,2,164810,8,2,89370,0.7807
1,1,243400,6,2,164810,8,3,142120,0.8168
1,1,243400,6,3,266820,1,1,243400,0.9834
1,1,243400,6,3,266820,1,2,223010,0.9182
1,1,243400,6,3,266820,1,3,181870,0.9356
1,1,243400,6,3,266820,2,1,210550,0.7870
1,1,243400,6,3,266820,2,2,251930,0.7522
1,1,243400,6,3,266820,2,3,223700,0.7075
1,1,243400,6,3,266820,3,1,110320,0.8990
1,1,243400,6,3,266820,3,2,122580,0.8865
1,1,243400,6,3,266820,3,3,112370,0.9092
1,1,243400,6,3,266820,4,1,222600,0.8178
1,1,243400,6,3,266820,4,2,267800,0.8248
1,1,243400,6,3,266820,4,3,271990,0.7913
1,1,243400,6,3,266820,5,1,131210,0.8428
1,1,243400,6,3,266820,5,2,188720,0.8660
1,1,243400,6,3,266820,5,3,185380,0.8792
1,1,243400,6,3,266820,6,1,241880,0.8522
1,1,243400,6,3,266820,6,2,164810,0.7999
1,1,243400,6,3,266820,6,3,266820,0.8240
1,1,243400,6,3,266820,7,1,269500,0.8380
1,1,243400,6,3,266820,7,2,278840,0.8529
1,1,243400,6,3,266820,7,3,274760,0.8895
1,1,243400,6,3,266820,8,1,170430,0.8373
1,1,243400,6,3,266820,8,2,89370,0.7895
1,1,243400,6,3,266820,8,3,142120,0.8334
1,1,243400,7,1,269500,1,1,243400,1.0000
1,1,243400,7,1,269500,1,2,223010,0.9470
1,1,243400,7,1,269500,1,3,181870,0.9471
1,1,243400,7,1,269500,2,1,210550,0.7637
1,1,243400,7,1,269500,2,2,251930,0.7717
1,1,243400,7,1,269500,2,3,223700,0.7070
1,1,243400,7,1,269500,3,1,110320,0.8943
1,1,243400,7,1,269500,3,2,122580,0.8918
1,1,243400,7,1,269500,3,3,112370,0.8659
1,1,243400,7,1,269500,4,1,222600,0.8096
1,1,243400,7,1,269500,4,2,267800,0.8399
1,1,243400,7,1,269500,4,3,271990,0.8070
1,1,243400,7,1,269500,5,1,131210,0.8405
1,1,243400,7,1,269500,5,2,188720,0.8434
1,1,243400,7,1,269500,5,3,185380,0.8721
1,1,243400,7,1,269500,6,1,241880,0.8145
1,1,243400,7,1,269500,6,2,164810,0.8123
1,1,243400,7,1,269500,6,3,266820,0.8015
1,1,243400,7,1,269500,7,1,269500,0.8548
