test_who,song_id,test_order,f1_score,feat,mode
5,1,1,0.7928,acc + gyr,one-to-one
5,1,2,0.9296,acc + gyr,one-to-one
5,1,3,0.9263,acc + gyr,one-to-one
5,1,1,0.7641,acc + gyr,rest-to-one
5,1,2,0.8714,acc + gyr,rest-to-one
5,1,3,0.8933,acc + gyr,rest-to-one
5,1,1,0.8107,acc + gyr,all-to-one
5,1,2,0.9266,acc + gyr,all-to-one
5,1,3,0.9459,acc + gyr,all-to-one
6,1,1,0.9285,acc + gyr,one-to-one
6,1,2,0.9419,acc + gyr,one-to-one
6,1,3,0.9479,acc + gyr,one-to-one
6,1,1,0.7695,acc + gyr,rest-to-one
6,1,2,0.7823,acc + gyr,rest-to-one
6,1,3,0.8503,acc + gyr,rest-to-one
6,1,1,0.8567,acc + gyr,all-to-one
6,1,2,0.8805,acc + gyr,all-to-one
6,1,3,0.9313,acc + gyr,all-to-one
7,1,1,0.9285,acc + gyr,one-to-one
7,1,2,0.9262,acc + gyr,one-to-one
7,1,3,0.9211,acc + gyr,one-to-one
7,1,1,0.8518,acc + gyr,rest-to-one
7,1,2,0.8631,acc + gyr,rest-to-one
7,1,3,0.8775,acc + gyr,rest-to-one
7,1,1,0.9232,acc + gyr,all-to-one
7,1,2,0.9169,acc + gyr,all-to-one
7,1,3,0.926,acc + gyr,all-to-one
8,1,1,0.8417,acc + gyr,one-to-one
8,1,2,0.8745,acc + gyr,one-to-one
8,1,3,0.8921,acc + gyr,one-to-one
8,1,1,0.853,acc + gyr,rest-to-one
8,1,2,0.8236,acc + gyr,rest-to-one
8,1,3,0.8594,acc + gyr,rest-to-one
8,1,1,0.8531,acc + gyr,all-to-one
8,1,2,0.8321,acc + gyr,all-to-one
8,1,3,0.8831,acc + gyr,all-to-one
1,1,1,0.9394,acc + near,one-to-one
1,1,2,0.9475,acc + near,one-to-one
1,1,3,0.9583,acc + near,one-to-one
1,1,1,0.9398,acc + near,rest-to-one
1,1,2,0.9668,acc + near,rest-to-one
1,1,3,0.9529,acc + near,rest-to-one
1,1,1,0.9427,acc + near,all-to-one
1,1,2,0.9641,acc + near,all-to-one
1,1,3,0.9557,acc + near,all-to-one
2,1,1,0.9782,acc + near,one-to-one
2,1,2,0.8647,acc + near,one-to-one
2,1,3,0.9092,acc + near,one-to-one
2,1,1,0.9524,acc + near,rest-to-one
2,1,2,0.9129,acc + near,rest-to-one
2,1,3,0.9554,acc + near,rest-to-one
2,1,1,0.9723,acc + near,all-to-one
2,1,2,0.916,acc + near,all-to-one
