train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,2,3,223700,1,2,223010,0.0591
1,1,243400,2,3,223700,1,3,181870,0.0636
1,1,243400,2,3,223700,2,1,210550,0.1407
1,1,243400,2,3,223700,2,2,251930,0.1397
1,1,243400,2,3,223700,2,3,223700,0.1265
1,1,243400,2,3,223700,3,1,110320,0.0987
1,1,243400,2,3,223700,3,2,122580,0.0581
1,1,243400,2,3,223700,3,3,112370,0.0865
1,1,243400,2,3,223700,4,1,222600,0.3172
1,1,243400,2,3,223700,4,2,267800,0.2163
1,1,243400,2,3,223700,4,3,271990,0.2186
1,1,243400,2,3,223700,5,1,130490,0.2526
1,1,243400,2,3,223700,5,2,188720,0.3248
1,1,243400,2,3,223700,5,3,185380,0.2203
1,1,243400,2,3,223700,6,1,241880,0.1721
1,1,243400,2,3,223700,6,2,164810,0.1626
1,1,243400,2,3,223700,6,3,266820,0.1736
1,1,243400,2,3,223700,7,1,269500,0.1626
1,1,243400,2,3,223700,7,2,278840,0.1834
1,1,243400,2,3,223700,7,3,274760,0.1137
1,1,243400,2,3,223700,8,1,170430,0.1679
1,1,243400,2,3,223700,8,2,89370,0.2945
1,1,243400,2,3,223700,8,3,142120,0.2305
1,1,243400,3,1,110320,1,1,243400,0.0128
1,1,243400,3,1,110320,1,2,223010,0.0765
1,1,243400,3,1,110320,1,3,181870,0.0899
1,1,243400,3,1,110320,2,1,210550,0.1395
1,1,243400,3,1,110320,2,2,251930,0.1452
1,1,243400,3,1,110320,2,3,223700,0.1531
1,1,243400,3,1,110320,3,1,110320,0.0773
1,1,243400,3,1,110320,3,2,122580,0.0663
1,1,243400,3,1,110320,3,3,112370,0.0756
1,1,243400,3,1,110320,4,1,222600,0.3232
1,1,243400,3,1,110320,4,2,267800,0.2373
1,1,243400,3,1,110320,4,3,271990,0.2630
1,1,243400,3,1,110320,5,1,130490,0.2843
1,1,243400,3,1,110320,5,2,188720,0.3201
1,1,243400,3,1,110320,5,3,185380,0.2411
1,1,243400,3,1,110320,6,1,241880,0.1347
1,1,243400,3,1,110320,6,2,164810,0.1282
1,1,243400,3,1,110320,6,3,266820,0.1272
1,1,243400,3,1,110320,7,1,269500,0.2110
1,1,243400,3,1,110320,7,2,278840,0.2198
1,1,243400,3,1,110320,7,3,274760,0.1351
1,1,243400,3,1,110320,8,1,170430,0.1645
1,1,243400,3,1,110320,8,2,89370,0.2287
1,1,243400,3,1,110320,8,3,142120,0.1371
1,1,243400,3,2,122580,1,1,243400,0.1037
1,1,243400,3,2,122580,1,2,223010,0.1255
1,1,243400,3,2,122580,1,3,181870,0.1295
1,1,243400,3,2,122580,2,1,210550,0.1295
1,1,243400,3,2,122580,2,2,251930,0.1599
1,1,243400,3,2,122580,2,3,223700,0.1705
1,1,243400,3,2,122580,3,1,110320,0.0651
1,1,243400,3,2,122580,3,2,122580,0.0297
1,1,243400,3,2,122580,3,3,112370,0.0519
1,1,243400,3,2,122580,4,1,222600,0.3692
1,1,243400,3,2,122580,4,2,267800,0.2849
1,1,243400,3,2,122580,4,3,271990,0.2939
1,1,243400,3,2,122580,5,1,130490,0.2820
1,1,243400,3,2,122580,5,2,188720,0.3170
1,1,243400,3,2,122580,5,3,185380,0.2869
1,1,243400,3,2,122580,6,1,241880,0.1731
1,1,243400,3,2,122580,6,2,164810,0.1585
1,1,243400,3,2,122580,6,3,266820,0.2160
1,1,243400,3,2,122580,7,1,269500,0.2026
1,1,243400,3,2,122580,7,2,278840,0.2223
1,1,243400,3,2,122580,7,3,274760,0.1762
1,1,243400,3,2,122580,8,1,170430,0.1208
1,1,243400,3,2,122580,8,2,89370,0.4072
1,1,243400,3,2,122580,8,3,142120,0.1849
1,1,243400,3,3,112370,1,1,243400,0.0000
1,1,243400,3,3,112370,1,2,223010,0.0555
1,1,243400,3,3,112370,1,3,181870,0.0608
1,1,243400,3,3,112370,2,1,210550,0.1448
1,1,243400,3,3,112370,2,2,251930,0.1410
1,1,243400,3,3,112370,2,3,223700,0.1292
1,1,243400,3,3,112370,3,1,110320,0.0948
1,1,243400,3,3,112370,3,2,122580,0.0595
1,1,243400,3,3,112370,3,3,112370,0.0629
1,1,243400,3,3,112370,4,1,222600,0.3108
1,1,243400,3,3,112370,4,2,267800,0.2101
1,1,243400,3,3,112370,4,3,271990,0.2083
1,1,243400,3,3,112370,5,1,130490,0.2553
1,1,243400,3,3,112370,5,2,188720,0.3248
1,1,243400,3,3,112370,5,3,185380,0.2139
1,1,243400,3,3,112370,6,1,241880,0.1676
1,1,243400,3,3,112370,6,2,164810,0.1575
1,1,243400,3,3,112370,6,3,266820,0.1673
1,1,243400,3,3,112370,7,1,269500,0.1639
1,1,243400,3,3,112370,7,2,278840,0.1629
1,1,243400,3,3,112370,7,3,274760,0.1089
1,1,243400,3,3,112370,8,1,170430,0.1768
1,1,243400,3,3,112370,8,2,89370,0.2756
1,1,243400,3,3,112370,8,3,142120,0.2077
1,1,243400,4,1,222600,1,1,243400,0.0000
1,1,243400,4,1,222600,1,2,223010,0.0681
1,1,243400,4,1,222600,1,3,181870,0.0705
1,1,243400,4,1,222600,2,1,210550,0.1417
1,1,243400,4,1,222600,2,2,251930,0.1387
1,1,243400,4,1,222600,2,3,223700,0.1637
1,1,243400,4,1,222600,3,1,110320,0.0935
1,1,243400,4,1,222600,3,2,122580,0.0459
1,1,243400,4,1,222600,3,3,112370,0.0904
1,1,243400,4,1,222600,4,1,222600,0.2984
1,1,243400,4,1,222600,4,2,267800,0.2111
1,1,243400,4,1,222600,4,3,271990,0.2029
1,1,243400,4,1,222600,5,1,130490,0.2933
1,1,243400,4,1,222600,5,2,188720,0.3182
1,1,243400,4,1,222600,5,3,185380,0.2353
1,1,243400,4,1,222600,6,1,241880,0.1715
1,1,243400,4,1,222600,6,2,164810,0.1509
1,1,243400,4,1,222600,6,3,266820,0.1559
1,1,243400,4,1,222600,7,1,269500,0.1703
1,1,243400,4,1,222600,7,2,278840,0.1563
1,1,243400,4,1,222600,7,3,274760,0.1262
1,1,243400,4,1,222600,8,1,170430,0.1834
1,1,243400,4,1,222600,8,2,89370,0.2434
1,1,243400,4,1,222600,8,3,142120,0.1969
1,1,243400,4,2,267800,1,1,243400,0.0000
1,1,243400,4,2,267800,1,2,223010,0.0555
1,1,243400,4,2,267800,1,3,181870,0.0572
1,1,243400,4,2,267800,2,1,210550,0.1444
1,1,243400,4,2,267800,2,2,251930,0.1401
1,1,243400,4,2,267800,2,3,223700,0.1560
1,1,243400,4,2,267800,3,1,110320,0.0987
1,1,243400,4,2,267800,3,2,122580,0.0600
1,1,243400,4,2,267800,3,3,112370,0.0890
1,1,243400,4,2,267800,4,1,222600,0.3113
1,1,243400,4,2,267800,4,2,267800,0.1854
1,1,243400,4,2,267800,4,3,271990,0.2002
1,1,243400,4,2,267800,5,1,130490,0.2922
1,1,243400,4,2,267800,5,2,188720,0.3234
1,1,243400,4,2,267800,5,3,185380,0.2126
1,1,243400,4,2,267800,6,1,241880,0.1817
1,1,243400,4,2,267800,6,2,164810,0.1575
1,1,243400,4,2,267800,6,3,266820,0.1698
1,1,243400,4,2,267800,7,1,269500,0.1826
1,1,243400,4,2,267800,7,2,278840,0.1524
1,1,243400,4,2,267800,7,3,274760,0.1176
1,1,243400,4,2,267800,8,1,170430,0.1861
1,1,243400,4,2,267800,8,2,89370,0.2389
1,1,243400,4,2,267800,8,3,142120,0.2071
1,1,243400,4,3,271990,1,1,243400,0.0000
1,1,243400,4,3,271990,1,2,223010,0.0555
1,1,243400,4,3,271990,1,3,181870,0.0608
1,1,243400,4,3,271990,2,1,210550,0.1541
1,1,243400,4,3,271990,2,2,251930,0.1374
1,1,243400,4,3,271990,2,3,223700,0.1560
1,1,243400,4,3,271990,3,1,110320,0.1026
1,1,243400,4,3,271990,3,2,122580,0.0600
