train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,2,2,251930,4,1,222600,0.3206
1,1,243400,2,2,251930,4,2,267800,0.2565
1,1,243400,2,2,251930,4,3,271990,0.2273
1,1,243400,2,2,251930,5,1,130490,0.2951
1,1,243400,2,2,251930,5,2,188720,0.3210
1,1,243400,2,2,251930,5,3,185380,0.2610
1,1,243400,2,2,251930,6,1,241880,0.1555
1,1,243400,2,2,251930,6,2,164810,0.1942
1,1,243400,2,2,251930,6,3,266820,0.1713
1,1,243400,2,2,251930,7,1,269500,0.1646
1,1,243400,2,2,251930,7,2,278840,0.1685
1,1,243400,2,2,251930,7,3,274760,0.1948
1,1,243400,2,2,251930,8,1,170430,0.1592
1,1,243400,2,2,251930,8,2,89370,0.2314
1,1,243400,2,2,251930,8,3,142120,0.1556
1,1,243400,2,3,223700,1,1,243400,0.0000
1,1,243400,2,3,223700,1,2,223010,0.0857
1,1,243400,2,3,223700,1,3,181870,0.0705
1,1,243400,2,3,223700,2,1,210550,0.1195
1,1,243400,2,3,223700,2,2,251930,0.1426
1,1,243400,2,3,223700,2,3,223700,0.1363
1,1,243400,2,3,223700,3,1,110320,0.0870
1,1,243400,2,3,223700,3,2,122580,0.0801
1,1,243400,2,3,223700,3,3,112370,0.0945
1,1,243400,2,3,223700,4,1,222600,0.3397
1,1,243400,2,3,223700,4,2,267800,0.2239
1,1,243400,2,3,223700,4,3,271990,0.2143
1,1,243400,2,3,223700,5,1,130490,0.2815
1,1,243400,2,3,223700,5,2,188720,0.3074
1,1,243400,2,3,223700,5,3,185380,0.2648
1,1,243400,2,3,223700,6,1,241880,0.1355
1,1,243400,2,3,223700,6,2,164810,0.1800
1,1,243400,2,3,223700,6,3,266820,0.1793
1,1,243400,2,3,223700,7,1,269500,0.1748
1,1,243400,2,3,223700,7,2,278840,0.1816
1,1,243400,2,3,223700,7,3,274760,0.1885
1,1,243400,2,3,223700,8,1,170430,0.1658
1,1,243400,2,3,223700,8,2,89370,0.2419
1,1,243400,2,3,223700,8,3,142120,0.1706
1,1,243400,3,1,110320,1,1,243400,0.0000
1,1,243400,3,1,110320,1,2,223010,0.0732
1,1,243400,3,1,110320,1,3,181870,0.0902
1,1,243400,3,1,110320,2,1,210550,0.1395
1,1,243400,3,1,110320,2,2,251930,0.1508
1,1,243400,3,1,110320,2,3,223700,0.1599
1,1,243400,3,1,110320,3,1,110320,0.0899
1,1,243400,3,1,110320,3,2,122580,0.0677
1,1,243400,3,1,110320,3,3,112370,0.0897
1,1,243400,3,1,110320,4,1,222600,0.3427
1,1,243400,3,1,110320,4,2,267800,0.2565
1,1,243400,3,1,110320,4,3,271990,0.2378
1,1,243400,3,1,110320,5,1,130490,0.3004
1,1,243400,3,1,110320,5,2,188720,0.3045
1,1,243400,3,1,110320,5,3,185380,0.2895
1,1,243400,3,1,110320,6,1,241880,0.1611
1,1,243400,3,1,110320,6,2,164810,0.2333
1,1,243400,3,1,110320,6,3,266820,0.1914
1,1,243400,3,1,110320,7,1,269500,0.1659
1,1,243400,3,1,110320,7,2,278840,0.1844
1,1,243400,3,1,110320,7,3,274760,0.1898
1,1,243400,3,1,110320,8,1,170430,0.1567
1,1,243400,3,1,110320,8,2,89370,0.2493
1,1,243400,3,1,110320,8,3,142120,0.1899
1,1,243400,3,2,122580,1,1,243400,0.1037
1,1,243400,3,2,122580,1,2,223010,0.1255
