train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,2,2,251930,4,1,222600,0.3522
1,1,243400,2,2,251930,4,2,267800,0.2504
1,1,243400,2,2,251930,4,3,271990,0.2420
1,1,243400,2,2,251930,5,1,130490,0.2275
1,1,243400,2,2,251930,5,2,188720,0.3304
1,1,243400,2,2,251930,5,3,185380,0.2326
1,1,243400,2,2,251930,6,1,241880,0.3119
1,1,243400,2,2,251930,6,2,164810,0.1995
1,1,243400,2,2,251930,6,3,266820,0.1462
1,1,243400,2,2,251930,7,1,269500,0.1674
1,1,243400,2,2,251930,7,2,278840,0.1130
1,1,243400,2,2,251930,7,3,274760,0.0809
1,1,243400,2,2,251930,8,1,170430,0.2328
1,1,243400,2,2,251930,8,2,89370,0.1933
1,1,243400,2,2,251930,8,3,142120,0.1827
1,1,243400,2,3,223700,1,1,243400,0.0000
1,1,243400,2,3,223700,1,2,223010,0.0748
1,1,243400,2,3,223700,1,3,181870,0.0612
1,1,243400,2,3,223700,2,1,210550,0.1464
1,1,243400,2,3,223700,2,2,251930,0.1076
1,1,243400,2,3,223700,2,3,223700,0.1409
1,1,243400,2,3,223700,3,1,110320,0.1742
1,1,243400,2,3,223700,3,2,122580,0.1012
1,1,243400,2,3,223700,3,3,112370,0.1084
1,1,243400,2,3,223700,4,1,222600,0.3522
1,1,243400,2,3,223700,4,2,267800,0.2504
1,1,243400,2,3,223700,4,3,271990,0.2420
1,1,243400,2,3,223700,5,1,130490,0.2275
1,1,243400,2,3,223700,5,2,188720,0.3304
1,1,243400,2,3,223700,5,3,185380,0.2326
1,1,243400,2,3,223700,6,1,241880,0.3119
1,1,243400,2,3,223700,6,2,164810,0.1995
1,1,243400,2,3,223700,6,3,266820,0.1462
1,1,243400,2,3,223700,7,1,269500,0.1674
1,1,243400,2,3,223700,7,2,278840,0.1130
1,1,243400,2,3,223700,7,3,274760,0.0809
1,1,243400,2,3,223700,8,1,170430,0.2328
1,1,243400,2,3,223700,8,2,89370,0.1933
1,1,243400,2,3,223700,8,3,142120,0.1827
1,1,243400,3,1,110320,1,1,243400,0.0000
1,1,243400,3,1,110320,1,2,223010,0.0770
1,1,243400,3,1,110320,1,3,181870,0.0554
1,1,243400,3,1,110320,2,1,210550,0.1493
1,1,243400,3,1,110320,2,2,251930,0.1211
1,1,243400,3,1,110320,2,3,223700,0.1577
1,1,243400,3,1,110320,3,1,110320,0.1523
1,1,243400,3,1,110320,3,2,122580,0.0746
1,1,243400,3,1,110320,3,3,112370,0.1134
1,1,243400,3,1,110320,4,1,222600,0.3608
1,1,243400,3,1,110320,4,2,267800,0.2426
1,1,243400,3,1,110320,4,3,271990,0.2506
1,1,243400,3,1,110320,5,1,130490,0.2159
1,1,243400,3,1,110320,5,2,188720,0.3188
1,1,243400,3,1,110320,5,3,185380,0.2167
1,1,243400,3,1,110320,6,1,241880,0.2932
1,1,243400,3,1,110320,6,2,164810,0.1674
1,1,243400,3,1,110320,6,3,266820,0.1416
1,1,243400,3,1,110320,7,1,269500,0.1780
1,1,243400,3,1,110320,7,2,278840,0.1216
1,1,243400,3,1,110320,7,3,274760,0.0840
1,1,243400,3,1,110320,8,1,170430,0.2195
1,1,243400,3,1,110320,8,2,89370,0.1980
1,1,243400,3,1,110320,8,3,142120,0.1763
1,1,243400,3,2,122580,1,1,243400,0.0000
1,1,243400,3,2,122580,1,2,223010,0.0623
1,1,243400,3,2,122580,1,3,181870,0.0661
1,1,243400,3,2,122580,2,1,210550,0.1518
1,1,243400,3,2,122580,2,2,251930,0.1423
1,1,243400,3,2,122580,2,3,223700,0.1711
1,1,243400,3,2,122580,3,1,110320,0.1576
1,1,243400,3,2,122580,3,2,122580,0.0635
1,1,243400,3,2,122580,3,3,112370,0.0997
1,1,243400,3,2,122580,4,1,222600,0.3633
1,1,243400,3,2,122580,4,2,267800,0.2481
1,1,243400,3,2,122580,4,3,271990,0.2432
1,1,243400,3,2,122580,5,1,130490,0.2282
1,1,243400,3,2,122580,5,2,188720,0.3291
1,1,243400,3,2,122580,5,3,185380,0.2365
1,1,243400,3,2,122580,6,1,241880,0.3133
1,1,243400,3,2,122580,6,2,164810,0.1940
1,1,243400,3,2,122580,6,3,266820,0.1400
