hit_type,R_AAI,R_AVI,R_ASMA,R_GAI,R_GVI,R_GSMA,R_AAE,R_ARE,R_MAMI,R_MGMI,R_ASDI,R_GSDI,R_AIR,R_GIR,R_AZCR,R_GZCR,R_AMCR,R_GMCR,R_AXYCORR,R_AYZCORR,R_AZXCORR,R_GXYCORR,R_GYZCORR,R_GZXCORR,L_AAI,L_AVI,L_ASMA,L_GAI,L_GVI,L_GSMA,L_AAE,L_ARE,L_MAMI,L_MGMI,L_ASDI,L_GSDI,L_AIR,L_GIR,L_AZCR,L_GZCR,L_AMCR,L_GMCR,L_AXYCORR,L_AYZCORR,L_AZXCORR,L_GXYCORR,L_GYZCORR,L_GZXCORR,L1,L2,R1,R2
1,0.10972426792175356,0.00042508502903525506,0.15450000000000003,29.625761093549315,24.275168127939754,47.347500000000004,0.012464500000000014,901.9608884999998,0.10972426792175356,29.625761093549315,0.02061759028197173,4.926983674413764,0.02061759028197173,4.926983674413766,0.5,0.5,0.5,0.5,-0.9999999999999999,0.9999999999999998,-0.9999999999999999,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,0.09705118483109926,0.0014215675228798077,0.153,254.71639697452156,18.22837331795859,267.7955,0.010840499999999996,64898.671261,0.10214301090718719,254.61460838754977,0.03770368049514275,4.269469910651507,0.04042375825080512,3.4870726613161196,0.75,0.75,0.75,0.75,0.7223541915529018,0.729407751903374,0.9807183127934089,0.1511307390389721,-0.02074827750572633,-0.8325649267794479,0,0,0,0
0,0.03828412347674975,0.00037007588961697827,0.05025000000000001,8.470039309119377,6.17254660197253,12.4985,0.0018357499999999997,77.91411249999999,0.03265979840022268,7.488700920871224,0.019237356617190893,2.484461028467247,0.022302375848911152,2.0450046148935304,0.75,0.5,0.75,0.25,0.8981802339205069,-0.9346720820476461,-0.8313733172746983,-0.7192042974027838,-0.6122775572885244,0.9826145388189238,0.07345213850254514,0.001024383349402935,0.11800000000000006,256.91640329763834,15.035427805250908,288.034,0.006419600000000011,66021.07371119998,0.07270488291717414,258.81168866378505,0.0320059892739302,3.8775543587744723,0.03924372863613501,5.79699338932528,0.4,0.4,0.4,0.2,-0.08885083814775989,0.40785289737705316,-0.5428796175543646,-0.665562812812001,-0.9214606944560486,0.5320123661496614,1,0,0,0
0,0.04783047210583454,0.0001852459381329873,0.07166666666666673,9.317453285316626,7.807916942609087,13.578333333333333,0.0024730000000000043,94.62285266666669,0.04403982511829893,8.851545069396266,0.01361050837158507,2.7942650093735004,0.01648075515302825,2.6543274207955685,0.6666666666666666,0.5,0.3333333333333333,0.5,-0.9173300842632636,-0.10932766979281489,0.3563784478996568,-0.3844841391803111,0.20055706929490213,-0.4737141966820161,0.029822321653428217,6.496246453280004e-05,0.046333333333333386,248.3312497772997,4.42824937773038,261.9983333333334,0.0009543333333333338,61672.837865333386,0.028637356763661415,248.83203176429532,0.008059929561280299,2.104340604020742,0.009295374952925792,2.2420347911788383,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,-0.19636175522107227,-0.18004627784087204,-0.02570194450339271,0.8805194770881968,0.09766030074935592,-0.22415105691455625,0,1,0,0
0,0.054887561896794244,0.00012135554902557955,0.0825,8.778649221626736,4.783872093632282,12.36525,0.0031339999999999988,81.84855424999996,0.05331542754114381,9.313663609804944,0.01101614946456245,2.1872064588493427,0.013266017890186235,2.3759458711269854,0.5,0.25,0.5,0.25,-0.1650512145538455,-0.5876848758405149,-0.6882383996374959,-0.8947052114855061,-0.7301740269026944,0.9121846415372088,0.0577517615227216,0.0002585911838798389,0.08357142857142863,245.40243705784744,6.954955926379605,256.7824285714286,0.003593857142857145,60229.31106985713,0.05640035460881446,245.1105756714712,0.01608077062456395,2.637225042801544,0.022317441416105768,2.890232756606906,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0839617353916452,-0.904151835518186,-0.07827046813563625,-0.2706243967117829,0.7983648898506782,-0.6248783627643841,0,0,0,0
0,0.06175307087558239,0.00011080823743529686,0.08925000000000005,17.063818605923153,3.8078120841508216,21.545,0.003924249999999999,294.9817175,0.05824030963306777,16.858630837995864,0.010526549170326279,1.951361597487975,0.007401869507805851,2.5935586853024404,0.5,0.25,0.5,0.25,0.3448838125002371,-0.2276166591720974,0.4532340561440298,-0.6151931930702109,-0.33249960811836177,-0.46253075252959014,0.06718848373879677,0.0002593743195481134,0.10333333333333339,248.00488178899707,8.505542158938885,253.043,0.004773666666666673,61514.926933333365,0.06961473280235451,249.41329927628686,0.01610510228306897,2.9164262649583454,0.015083960247104268,3.655847454492516,0.5,0.16666666666666666,0.5,0.16666666666666666,0.7476219318346744,0.22620841317884802,-0.3242972929315482,-0.03211044935886129,0.4741289231377559,-0.7913777670080273,0,0,0,0
0,0.03879132752777298,1.482908633037966e-06,0.05524999999999991,26.341416969039244,3.589803813211285,36.315250000000006,0.0015062499999999954,697.4600517499999,0.03878364182869719,25.67886710356445,0.0012177473601030578,1.8946777597288897,0.0016724195374007295,2.3983339094036964,0.25,0.5,0.25,0.5,-0.6803103685692825,0.7207113521557935,-0.209058767178216,0.33393286349487794,-0.5378156574056345,0.5659118107912818,0.03860732695304686,8.667430554054668e-05,0.06000000000000009,253.0485202879438,2.646368682092082,261.0450000000001,0.001577200000000005,64036.19998859998,0.040804411526206355,253.21642168311283,0.009309903626813045,1.6267663268251167,0.011243942468594285,0.6047816559008083,0.4,0.2,0.4,0.2,0.4316015047501269,-0.031066740945103435,0.19084474692046746,-0.8448666281331837,-0.12382254822141679,0.2046198363647028,0,0,0,0
0,0.042786502363117505,0.00015531521553094267,0.06400000000000006,33.04530856595426,26.380247780870512,51.281000000000006,0.001986000000000003,1118.3726660000002,0.03913615940085576,34.241987838535856,0.012462552528713478,5.136170536583702,0.014961558781904367,7.7534024659061735,0.25,0.25,0.25,0.25,-0.861572683128088,0.783862176016961,-0.9025735888956924,0.9243048616327102,0.9702215934927043,0.9606562903323601,0.027688921006647414,0.00018199032015431057,0.03466666666666666,253.60147698655408,4.0748045716142345,259.9936666666667,0.0009486666666666713,64317.78393433336,0.027313000567495336,254.55379308507665,0.013490378799511546,2.018614517835001,0.01651906453462292,2.330671017924317,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.629990704369362,0.9610003213313786,0.8201886043092832,0.8128968794207715,0.8899430474010858,0.45781229673083934,0,0,0,1
0,0.12048491677538602,0.0013497181629616394,0.18500000000000003,49.01094966137516,1116.1593532901497,73.04133333333333,0.015866333333333336,3518.2325400000004,0.10394710193170373,40.15609271331064,0.03673851062525044,33.40897114982965,0.04265504371805895,40.192445325672956,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9970656391272879,-0.9998563256610916,-0.9982199896558235,0.02999099460278047,0.19347666831254717,0.9864661028402872,0.03561571686012532,2.4854045872722734e-05,0.05400000000000011,252.2547314275441,4.8810100842775785,257.00100000000003,0.0012933333333333377,63637.330537666676,0.03501428280002323,251.1581082027813,0.004985383222253103,2.209300813442474,0.006083566109823739,2.5336886654834814,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.24489899998946224,-0.7318836073687517,-0.83991673626693,0.5288262344464569,-0.8803502656477391,-0.8681255173276343,0,0,1,0
1,0.340172635079243,0.01772757834324416,0.5375,64.29385314775767,650.8849544145717,99.7125,0.133445,4784.584506999999,0.35924572324547716,68.54560124655998,0.13314495237613838,25.512447048736263,0.14992512656160306,39.79165426099827,0.75,0.25,0.75,0.25,0.07362093993670368,-0.051059999086838545,-0.8540341052692381,0.01984603523173404,-0.6031722582373031,-0.19434252857433063,0.03542343116703003,2.2930524354686135e-05,0.049749999999999996,246.227452727396,8.011716127972985,252.49125,0.0012777500000000002,60635.970192750014,0.03453125556159387,246.18253253641626,0.004788582708347652,2.830497505381869,0.006363951486715383,4.731049760154377,0.25,0.75,0.25,0.75,-0.5668121261691743,0.512694118576286,0.27937087333275507,0.9292990716748751,0.32019378672285437,-0.05230872770510489,0,0,0,0
0,0.05888821860053085,0.0028699277100560955,0.09075000000000004,16.15516442484245,23.488658906304906,22.918,0.006337750000000003,284.47799649999996,0.03125591470673678,16.686017995194202,0.053571706245518214,4.846509971753376,0.04398467255792152,5.7366459507970635,0.5,0.75,0.25,0.75,-0.8846200112699817,0.9677025653685019,-0.9584911931582382,0.7514828090396583,0.7056783921442059,0.9224895226984408,0.03557274359545688,2.5979913091885488e-05,0.05020000000000006,248.72762634894988,9.602554417174336,251.93919999999997,0.0012914000000000044,61875.03466359999,0.03770941526992962,249.42278117686044,0.005097049449621368,3.0987988668473365,0.005907209010579388,4.717662372127592,0.6,0.4,0.6,0.2,0.48414996672434424,0.4439011094742166,0.9754130985559619,-0.3457505660369274,0.5817972387811515,-0.9525634851269906,1,0,0,0
