hit_type,R_AAI,R_AVI,R_ASMA,R_GAI,R_GVI,R_GSMA,R_AAE,R_ARE,R_MAMI,R_MGMI,R_ASDI,R_GSDI,R_AIR,R_GIR,R_AZCR,R_GZCR,R_AMCR,R_GMCR,R_AXYCORR,R_AYZCORR,R_AZXCORR,R_GXYCORR,R_GYZCORR,R_GZXCORR,L_AAI,L_AVI,L_ASMA,L_GAI,L_GVI,L_GSMA,L_AAE,L_ARE,L_MAMI,L_MGMI,L_ASDI,L_GSDI,L_AIR,L_GIR,L_AZCR,L_GZCR,L_AMCR,L_GMCR,L_AXYCORR,L_AYZCORR,L_AZXCORR,L_GXYCORR,L_GYZCORR,L_GZXCORR,L1,L2,R1,R2
1,0.10293067693625517,0.0090381090787776,0.14438888888888882,31.268342826448887,95.970030628403,43.493,0.019632833333333332,1073.6792937407404,0.06359957641077035,30.31785692041567,0.09506897011526737,9.796429483664086,0.09553955495414372,8.801541251384279,0.08333333333333333,0.25,0.25,0.25,-0.7726853184139746,0.2516739488153034,-0.4919059049390241,-0.031172993019140352,0.42160554206338136,0.8565620342981782,0.04924535646491865,0.00019606153330976235,0.06800000000000005,246.31781896717766,9.589103650862446,252.31825000000006,0.002621166666666669,60682.05704439815,0.044966619164195046,244.9070844324844,0.014002197445749804,3.0966277869421837,0.006811618425120888,3.1630923522786816,0.25,0.3333333333333333,0.25,0.16666666666666666,0.34527884260864367,-0.08435223714273284,-0.6353596460824469,0.14722203830609407,0.6323550118870098,-0.3234907536336399,0,0,0,0
0,0.02303475824862444,0.0001449943568718734,0.033361111111111175,16.97417292387908,12.97933652432431,23.978388888888887,0.000675594444444445,301.10188297407404,0.01837251675619226,17.776119510152455,0.01204136025837087,3.602684627375023,0.019927955144200947,4.726583277670814,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8091145250162018,-0.451594278625512,-0.8477029805109387,-0.525191378743179,-0.93226240575921,0.6763482812105945,0.047777536699979195,3.9168097993252546e-05,0.05652777777777775,250.27036486838145,5.3351308578539784,256.2819861111111,0.0023218611111111118,62640.590662210685,0.050132579893630264,250.91059312173755,0.0062584421378848384,2.3097902194472075,0.009116742417066503,3.679276271143351,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.1032933754909077,-0.2270214632585074,-0.24898875972530363,0.5861906665323934,-0.9357837949758033,-0.7516284559196671,1,0,0,0
0,0.051790521901062585,0.00011670248936370221,0.08137499999999996,21.589922242731745,145.79644843937123,35.719125,0.0027989606481481463,611.9211908865743,0.0531381538607701,25.38980638404883,0.010802892638719605,12.074620012214513,0.009158615818043558,24.59646523751553,0.25,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.15907244335498713,-0.45957329403321817,-0.9497388469921924,0.973277065476336,0.986367808776236,0.9868605323823221,0.039814551407988834,3.64056628472829e-05,0.05920833333333341,247.80176144485924,1.8667930750790616,255.00075000000004,0.0016216041666666694,61407.57976825003,0.03929068644128084,248.31078154914118,0.006033710537246786,1.3663063620868716,0.009398821100722828,2.2672409938344344,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.6809073787506869,0.23850581257649942,0.039400651431848,0.8589279323030186,0.528352406951681,0.07368694119186141,0,1,0,1
0,0.11341322218376006,0.003669960264666315,0.17680769230769236,32.93471406276316,325.5369264597994,49.71796153846154,0.016532519230769236,1410.2323168557693,0.10276307702672209,29.315852686729063,0.060580196967873215,18.04264189246684,0.030919947881512005,31.29135873846884,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,-0.4831241775675848,-0.07585430336523973,-0.8086485609704938,0.967269810683685,0.8716513708756377,0.8561727643845705,0.03805105035494383,5.38120113299748e-05,0.056115384615384685,249.3921515668066,1.6064015755738175,253.55684615384618,0.0015016944444444453,62198.05166469658,0.037322915213043074,249.3051564779598,0.007335667067825175,1.267438982978596,0.008015677386819756,1.2802404975579975,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.15384615384615385,-0.23145434114377864,-0.6651583934608104,0.5404223842895779,-0.7023846809993733,-0.193786242517432,0.1963392109843194,0,0,1,0
1,0.21528982151846954,0.02321256358387889,0.3336805555555556,40.83887657014742,613.5740745947454,58.249750000000006,0.06956227083333337,2281.3879141064817,0.15404593647551348,34.2945924531011,0.15235669851988423,24.770427420509833,0.18887949969478432,28.191636313378414,0.25,0.25,0.25,0.16666666666666666,-0.9600805116697646,0.29552336988953315,-0.4261675210578305,-0.8972736734565794,-0.48054320877771106,0.3191083267330069,0.05870060257480919,0.0007314423823543047,0.08339583333333334,249.8707383988299,17.105681009601437,255.33900000000003,0.004177203125,62452.49158898613,0.05174203495821799,247.7494967726194,0.027045191483040097,4.135901474842146,0.046451670224903235,5.458156416944661,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,-0.7345310107532549,-0.485642003851158,0.5857619710854164,0.6189794407881,0.43019249410976806,-0.33673407534372424,0,0,0,0
0,0.0303149373353357,0.00040864114842874413,0.04215277777777778,16.45808080508748,4.42746370395176,24.90225,0.0013276365740740748,275.2958874907407,0.024559661911390203,16.174945796437303,0.020214874435146614,2.104153916411953,0.029229414289609613,3.5934982726956584,0.25,0.16666666666666666,0.25,0.16666666666666666,-0.2750875538556038,0.06274703152827606,-0.9425528100790704,-0.29596329654858305,-0.4668377583348407,0.7495695085284249,0.04242249226028904,6.228990505534761e-05,0.055451388888888946,249.39866626580263,1.4986983110312353,252.26627777777776,0.0018619577546296316,62201.19343347224,0.040738755497391255,249.44707566523076,0.007892395394007299,1.224213343756404,0.00839411781618165,2.553370611511042,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6900860936149733,-0.22910753815580287,-0.6198470454073101,0.9491936183756979,-0.08556945390237353,-0.115849370461424,1,0,0,0
0,0.032797829587858165,0.00034898987432581776,0.0492916666666667,10.913639026107342,26.81874202032674,16.455708333333334,0.0014246875000000023,145.9262588125,0.02133349915617494,10.74373088451425,0.018681270682847508,5.178681494388966,0.03343022586763779,3.4651825406480423,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666,-0.9093266596211562,0.7406898129055214,-0.8375290467754205,0.9599518055903474,0.8792614934520214,0.8227220737152787,0.037560362298099746,4.6608072924376205e-05,0.04700000000000002,246.0699137961186,0.981505921699608,248.86958333333337,0.0014573888888888902,60551.38398155095,0.0382920954549733,246.49036348476653,0.006827010540813322,0.9907098070068793,0.013391509610272221,1.7130700289699234,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.2660298697577748,-0.7320037392391842,0.1188566049724496,-0.6028584399761605,0.48979482522842216,-0.9522832933546279,0,1,0,1
0,0.1012515627958116,0.002192831679553963,0.1604583333333333,37.92246314287655,312.3884103600397,58.750125000000004,0.012444710648148144,1750.5016211828706,0.0839426092847945,35.425176137216,0.0468276806980013,17.674513016206124,0.09289846513164288,11.638472191401153,0.08333333333333333,0.25,0.08333333333333333,0.25,-0.7016249759290755,0.4210937269013641,-0.9224339643100337,0.8850284695375861,0.9312761820213874,0.9772548168112908,0.03909662112720332,2.883153125073483e-05,0.05112500000000004,249.03458951300505,2.178019452516202,252.2260416666667,0.001557377314814816,62020.40479336347,0.03685121083804384,248.85226170291742,0.005369500093186965,1.4758114556122006,0.010589691015745036,2.366920017453907,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.1045688823795518,0.15162917008007626,0.5408148204844648,-0.4655884079645724,0.6919464195575877,-0.7102179285215442,0,0,1,0
1,0.22366526961194358,0.016808169818989253,0.3201666666666666,64.87040421215913,704.5079102442492,100.91361538461538,0.06683432264957266,4912.677252893163,0.18921284311589426,55.25378874993299,0.12964632589853542,26.54256789092286,0.17518875550322666,51.922106556735656,0.38461538461538464,0.46153846153846156,0.6153846153846154,0.3076923076923077,-0.4298972433109497,0.41491278726552017,-0.38142994170197464,-0.2740975056922839,-0.5601198952748476,0.6147131553872268,0.04798126666020605,0.0008583151436992938,0.0694871794871795,249.02785289411466,17.700666011312165,254.62289743589747,0.0031605170940170934,62032.57218306411,0.04013726448077888,248.12876077704092,0.029297015952128875,4.207215945410001,0.04164179048818041,7.177585808744055,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,-0.7104842597868195,-0.8343130021496902,0.5434606150043545,-0.3118665695113639,0.6780214966739583,-0.04114890593442912,0,0,0,1
0,0.11247829623388861,8.677459967761195e-05,0.1718333333333333,31.076976625900755,238.43341369287808,48.90122619047619,0.012738141723356014,1204.2118898996603,0.1135532452398969,28.910339049296795,0.009315288491378674,15.441289249699265,0.005375234892422295,27.21667151927915,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5017781964156204,-0.8934942714333624,-0.09232646573273817,0.7802043974909285,0.5965559893538969,0.9568447114702485,0.03249530505238643,7.693362177457047e-05,0.04368055555555552,248.66458868990037,4.287732625376562,252.85376388888892,0.001132878472222222,61838.36540094275,0.03181033164904741,249.19362988247877,0.008771181321496579,2.0706840959877395,0.012560912434709161,3.851654967440055,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,-0.780320515467611,-0.43274581065485734,-0.21860743066363184,-0.9549377823602593,0.8583394898758773,-0.8028149399592633,1,0,1,0
