hit_type,R_AAI,R_AVI,R_ASMA,R_GAI,R_GVI,R_GSMA,R_AAE,R_ARE,R_MAMI,R_MGMI,R_ASDI,R_GSDI,R_AIR,R_GIR,R_AZCR,R_GZCR,R_AMCR,R_GMCR,R_AXYCORR,R_AYZCORR,R_AZXCORR,R_GXYCORR,R_GYZCORR,R_GZXCORR,L_AAI,L_AVI,L_ASMA,L_GAI,L_GVI,L_GSMA,L_AAE,L_ARE,L_MAMI,L_MGMI,L_ASDI,L_GSDI,L_AIR,L_GIR,L_AZCR,L_GZCR,L_AMCR,L_GMCR,L_AXYCORR,L_AYZCORR,L_AZXCORR,L_GXYCORR,L_GYZCORR,L_GZXCORR,L1,L2,R1,R2
1,0.044086564480820184,0.00022724346653774186,0.06674305555555554,17.462989682794895,6.0705919225110305,26.407562499999997,0.0021708686342592587,311.02660058391217,0.04463363574623881,17.66876880079235,0.01507459672885951,2.4638571229905013,0.023997963466826776,4.095598055789155,0.25,0.25,0.25,0.25,0.2148418692370983,-0.5939013144338329,-0.8596570989106664,0.9334572373365208,0.8677216192314076,0.8844697457943774,-0.12072325278089015,-0.18799405199773575,-0.2348229012694707,-0.09706100085664911,-0.302862296254735,-0.5080607291361744,-0.20952294435410757,-0.21287301072037743,-0.058233879862700115,-0.10357526690212683,-0.41211118483922926,-0.5043462431741865,-0.3778647184914163,-0.43213082279249754,-0.6235388430639466,-0.31113309267255634,-0.45702931320108897,-1.02135183684016,0.5360827220355079,-0.8952987510839916,-0.7927832664917787,-0.6418923787808392,-0.06234653688069403,0.7598286911955838,0,0,0,0
0,0.11776194584970978,0.00511562700320854,0.17290972222222223,18.943226977375804,98.79867583987168,28.832472222222222,0.01898350289351853,457.6445241562504,0.09505909079594738,19.775898002436936,0.07152361150842804,9.939752302742342,0.08399569111755843,15.890110789962522,0.5,0.16666666666666666,0.5,0.16666666666666666,-0.4981748450566343,0.45016559293769476,-0.755392124636104,-0.2822981941484315,0.6722248820873788,-0.18037818318765966,-0.09957740457993768,-0.18908085815894368,-0.2131869258170591,-0.05709609147629393,-0.30343622836602735,-0.49941765675546157,-0.20659876601755944,-0.1807433521899181,-0.041385243731144154,-0.06877303983262047,-0.44850443790254585,-0.5324879064888671,-0.45718744774480463,-0.46652159641171187,-0.6235388430639466,-0.31113309267255634,-0.45702931320108897,-1.02135183684016,0.0514144685078689,-0.10755303257200148,0.6923321741993433,-0.7510773764171987,0.6012063032450081,-0.5684416746007518,1,0,0,0
0,0.026740015115185395,6.219670738039779e-05,0.040284722222222236,15.253601632344752,14.66312393733137,23.135291666666664,0.000777225115740741,247.33548669560187,0.025492368219148374,16.225438187458984,0.007886488913350337,3.8292458705770476,0.01039792976699112,3.9155355468869892,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,-0.6171031933085631,-0.7262871520510267,0.1356422945223317,0.5435396981813696,-0.027556154198984564,-0.8051338451865783,-0.08771887243332374,-0.1899254195704067,-0.19477841631611229,-0.07694093392069691,-0.3029935370748943,-0.4577532294428658,-0.20497159575406326,-0.19665685055019383,-0.037315953576975175,-0.08328447560436632,-0.49767858996548364,-0.509451407861563,-0.4991418413109435,-0.45829072415246724,-0.6235388430639466,-0.31113309267255634,0.20353076282376661,-1.02135183684016,-0.48268075151822276,-0.2269295721508891,0.9381484920377181,-0.9443362791001438,0.4880675061182458,-0.34196010639217594,0,1,0,1
0,0.04096244612422025,6.375749469984036e-05,0.05979487179487178,9.236610729201866,28.639839373945147,14.49,0.0017416794871794876,113.95481713675211,0.041152156687104494,8.620535438706812,0.007984829033851655,5.351620256889043,0.007926475754781191,9.183782605879312,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.15384615384615385,-0.302211933357511,0.2795603444760081,0.10403542975258795,0.7223600536466922,0.9114257663940526,0.7929136607807687,-0.1011403381493757,-0.18960415790813828,-0.20041498790656176,-0.12870641694802562,-0.303179759339128,-0.5497546398954046,-0.2069889140956059,-0.23850356220212912,-0.04003369408785758,-0.16360026633113847,-0.4737579505443986,-0.5176795705613939,-0.46080441251550597,-0.44616442001932727,-0.7216205521472078,-1.4622799816675098,-0.5586539402818358,-1.1060344305699021,0.09487648118045872,-0.6238078744519293,0.4445389740467764,-0.9175805234937717,0.9390440022532959,-0.9355853682690071,0,0,1,0
1,0.04397230845161659,0.0006143041449914452,0.06712500000000002,17.52984758584559,25.199923536004945,26.940125000000005,0.002547868055555557,332.4954799189816,0.03610303538953857,17.697072683116588,0.024785159773369328,5.01995254320247,0.03021376072576279,8.377732251341811,0.25,0.25,0.16666666666666666,0.25,-0.2157724447681394,-0.0659206082711317,-0.9347221414786295,0.9764745446399039,0.9805287450933623,0.938229323180017,-0.07585270376123725,-0.18962272583137532,-0.19573470252395364,-0.017012845656352683,-0.3033034221739753,-0.506172595174006,-0.2029819919686467,-0.14817708489030057,-0.020944463677841318,-0.03574937642969129,-0.4748622956976294,-0.5241025434334805,-0.4707584583302615,-0.4647224175061023,0.013992265977251922,-1.380055203882156,0.20353076282376661,-1.02135183684016,-0.09754510600284388,-0.49577434721363933,0.9126700781078212,0.8127984259473359,0.9817203562189841,0.7076893273677445,0,0,0,0
0,0.11200574442882079,0.004943328631612342,0.16826666666666665,24.48313994380077,122.76677947518375,36.176525000000005,0.017488615416666662,722.1909209829169,0.08580097171589321,21.29574045061336,0.07030880906125733,11.080017124318164,0.06762991777569931,15.654080895032521,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5641989826270243,-0.7905948141045714,-0.5531631312735503,-0.652482704789814,0.3348711744422076,-0.21384578701779067,-0.07994739773100211,-0.18903187234289853,-0.18983760424226503,-0.0771795370042154,-0.303361766165575,-0.5338626409676661,-0.20347726466480573,-0.19697443129295322,-0.034350886743869206,-0.11458915860305464,-0.4465259976779921,-0.5275387222898532,-0.41097124204880875,-0.4649651253129416,-0.6235388430639466,-0.31113309267255634,-0.45702931320108897,0.07952188164649063,0.6759562377462015,-0.025927801806496124,0.3581467434920428,-0.627789301256461,0.7519582173980128,-0.7272964642970847,1,0,0,0
0,0.028668310419187003,5.6517885116540995e-05,0.04449722222222221,15.42712465462725,29.2537257528143,25.149,0.000878389907407407,267.24990086222226,0.027518322818193414,15.551738791861721,0.007517837795306639,5.408671348197661,0.004179673265551614,7.485995550652335,0.5833333333333334,0.08333333333333333,0.4166666666666667,0.08333333333333333,-0.682283840717711,0.5438203785212913,0.22944178332247075,0.7724730879279036,0.8355590819710496,0.9588890667514172,-0.09627334778039141,-0.18934219978389488,-0.2136650689209798,-0.08623355047262009,-0.303497528425602,-0.6066361058038705,-0.20615658193430764,-0.20434065149069175,-0.04146155519225486,-0.11477394558201509,-0.4599848480504445,-0.5372772408852107,-0.4624082308233662,-0.4754505842333177,-0.6235388430639466,-1.380055203882156,-0.45702931320108897,0.07952188164649063,0.7148495584193973,-0.7109663150931878,-0.5489259739506451,-0.22189351274037863,-0.16194339206907835,0.8959291820751749,0,1,0,1
0,0.045434467708599706,0.0005692924773695462,0.06733333333333334,19.364535881491893,21.84821282357952,30.758791666666667,0.0026335833333333354,396.83346272916674,0.03713930591821015,21.25472555977867,0.023859850740722294,4.674207186633849,0.028948172350870417,5.656576193809784,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,-0.2383659083977097,-0.301901598852425,-0.5684251404734633,0.8950262375706461,0.9452341268235023,0.7691309523657447,-0.08420771846697016,-0.18970056515783573,-0.21079621029745585,-0.10228885355643619,-0.30357903856179436,-0.6031564273129325,-0.2043488205512403,-0.21733635887946604,-0.03208546664082904,-0.11214489548255384,-0.47975016923347125,-0.5456196024648943,-0.48716362026710236,-0.4905233556197087,-0.6235388430639466,0.7577890185370435,-0.45702931320108897,1.1803956001331413,0.8067797834706126,0.4267640030368234,0.6817492926716031,-0.5487086214532338,0.4887290741735683,0.1351704988750962,0,0,1,0
1,0.05067192686584676,0.0002548365969330475,0.07726923076923078,22.013394181110932,103.2475347424161,32.26107692307692,0.002822480769230769,587.8370581153848,0.047835656157305916,20.859395730701312,0.01596360225428608,10.161079408331386,0.019425143040538925,8.17716994500315,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.4959434303375118,-0.010794556410327153,-0.684491126530325,-0.18187352964851974,0.6284616843526574,-0.05744981344327485,-0.09933257125153616,-0.188108358230127,-0.20328384653008627,-0.08640940841586632,-0.30264171720874733,-0.5493650372077413,-0.20628703083759856,-0.2041932044100529,-0.020249196007509896,-0.14074997452815358,-0.4153985108433293,-0.4966498295476212,-0.3504510809050818,-0.43295903764647786,-0.7216205521472078,0.5111146851809822,-0.5586539402818358,-1.1060344305699021,0.6367281996699476,-0.6218138063268506,-0.9453075640498995,-0.20524555845792664,0.025636786396295855,0.9570092561703661,0,0,0,1
0,0.15881263740926216,0.010429671199114218,0.2404166666666667,23.348216325847332,225.91357552643626,35.02675,0.035651125,771.0527811250003,0.1521455222706958,18.261590638578454,0.1021257616819293,15.030421668284502,0.12697822506347478,18.73545481491061,0.25,0.4166666666666667,0.25,0.4166666666666667,-0.6193626786451495,0.7538866442194226,-0.5199058586150692,-0.3646771070355389,-0.33105235303503744,0.787164205185042,-0.12698035492770873,-0.18852905236897266,-0.25478537585815964,-0.15710122042742164,-0.30287514465809534,-0.6159704597101203,-0.21060581195652267,-0.26124782162119625,-0.06700645183933365,-0.13913114844447919,-0.4284003806803144,-0.5048261227817666,-0.38834107743733637,-0.45146175930438365,-0.6235388430639466,-0.31113309267255634,-0.45702931320108897,-1.02135183684016,0.5899228162051647,-0.37378629908461575,0.5002261262870019,-0.7586363733662144,-0.6259864798920605,0.8167227511934877,1,0,1,0
1,0.06306888002806635,0.0008501705386720405,0.09654166666666669,12.11051253057123,28.651965746877234,18.644583333333333,0.0048278541666666695,175.31647950000004,0.061445233192795615,11.52876856308838,0.029157684041638845,5.35275309974944,0.029918376144862036,9.599445652671676,0.5,0.16666666666666666,0.4166666666666667,0.25,-0.9594620610066233,0.6029374769793657,-0.7086288197898558,0.6794165454683979,-0.2818491321673291,0.40940309474878933,-0.1578656912837706,-0.18730232070096192,-0.24797183662728967,-0.04138709324497813,-0.3025590410971609,-0.43175146196240544,-0.21470608915717374,-0.1677132709432003,-0.1310657038356021,-0.06597481216359209,-0.39388912874524545,-0.49398708283857307,-0.43602477454164584,-0.4806537557298296,-0.6235388430639466,1.8267111297466432,-0.45702931320108897,2.281269318619792,0.0613063599721082,-0.8117008536354517,-0.4932415752842002,-0.7066101513980958,-0.10479959799719776,0.3346898484405655,0,1,0,1
0,0.2210181834571188,0.01466649035909317,0.34286111111111106,27.892755282518547,160.9685856337929,43.20947222222222,0.06351552777777777,938.9743828842597,0.1876475507013486,27.664428951208105,0.12110528625577485,12.687339580613145,0.16322066460438064,17.36445993506779,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,-0.7638864649705023,0.35253679194359494,-0.8170212766848365,0.5825687918244042,0.2717821081761883,0.8755156343663288,-0.12915674994321308,-0.18949388336698364,-0.25721593663642345,-0.09170432335321817,-0.30350190922574644,-0.5254112109900732,-0.21119906437209135,-0.20876280168202155,-0.08308920166291403,-0.12210767325223175,-0.46759433438678427,-0.5376546473654753,-0.5069761116586182,-0.4765550077997911,0.6515233750184503,-0.31113309267255634,0.20353076282376661,0.07952188164649063,-0.18629588381213788,-0.4363480840434605,0.8027537270454287,-0.6088991831956337,-0.20418011609214584,-0.12344687525557257,1,0,1,0
1,0.07489394700347989,0.0010966999429806897,0.10976388888888892,21.53871084121461,99.51738450224802,35.56344444444445,0.006705803240740744,563.433449203704,0.06221153308472012,24.084433832460917,0.033116460302705805,9.975840039928869,0.03272331175118352,19.5776627099519,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.3196285002602362,-0.299909409682114,-0.8503956918503303,0.440694972263376,0.8965165108276837,0.7368827243023072,-0.12788445493408132,-0.18720364226037856,-0.2250209676390963,-0.06620390493838185,-0.30271676961993244,-0.47793591224001747,-0.21036672604075968,-0.1878752779202552,-0.05033595541634082,-0.09043512241114295,-0.3914835041883248,-0.49916370493680307,-0.3550878162488376,-0.4409310944134493,-0.6235388430639466,-1.380055203882156,-0.45702931320108897,-1.02135183684016,0.6860033783212547,-0.7935685269921628,-0.6184582579901536,-0.7107466337816307,-0.537521422095692,0.9575465125810243,0,1,0,0
